"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance"
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Aegialitis annulata",1.7,15,1,1,4444.44444444444,0.375,6.66666666666667,0.441176470588235,0.5,0.25,0.397058823529412
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0
152.9870833,-25.44796749,"Kerstin and Annie","Landward-Creek","0-20m","Rhizophora stylosa",2.06666666666667,19,1,1,4444.44444444444,1.125,8.44444444444444,0.558823529411765,0.5,0.75,0.602941176470588
152.989945733333,-25.4481672933333,"Lucy and morgan  yellow","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0
152.989945733333,-25.4481672933333,"Lucy and morgan  yellow","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0
152.989945733333,-25.4481672933333,"Lucy and morgan  yellow","Landward-Creek","0-20m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0
152.989960766667,-25.4480916466667,"Lucy and morgan  yellow","Landward-Creek","0-20m","Ceriops australis",0.6,8.91666666666667,2,1,120982.986767486,0.215625,107.876496534342,0.789667896678967,0.666666666666667,0.75,0.735444854448544
